"components/c-100/title/","Czy rozpoznajesz Matterhorn wygenerowany przez AI?"
"components/c-309/_feedback/_partlyCorrect/final/","Zidentyfikowałeś kilka kluczowych kroków, ale nie wszystkie. Poprawne odpowiedzi to A, B i C. Zalecenia podkreślają znaczenie: 1) upewnienia się, że masz prawa do wszystkich danych, które udostępniasz AI; 2) dokładnego sprawdzania treści generowanych przez AI pod kątem podobieństw do istniejących dzieł chronionych prawem autorskim; oraz 3) zapewnienia wystarczającego ludzkiego wkładu twórczego, aby rościć sobie prawa autorskie do dzieła końcowego. Prawa autorskie samego modelu AI nie są głównym problemem podczas przeglądów wydania produktu przez użytkownika."
"components/c-309/_buttons/_submit/buttonText/","Wyślij"
"components/c-309/_buttons/_submit/ariaLabel/","Wybierz tutaj, aby wysłać swoją odpowiedź."
"components/c-309/_buttons/_reset/buttonText/","Resetuj"
"components/c-309/_buttons/_reset/ariaLabel/","Wybierz tutaj, aby zresetować swoją odpowiedź."
"components/c-309/_buttons/_showCorrectAnswer/buttonText/","Pokaż poprawną odpowiedź"
"components/c-309/_buttons/_showCorrectAnswer/ariaLabel/","Wybierz tutaj, aby pokazać poprawną odpowiedź."
"components/c-309/_buttons/_hideCorrectAnswer/buttonText/","Pokaż moją odpowiedź"
"components/c-309/_buttons/_hideCorrectAnswer/ariaLabel/","Wybierz tutaj, aby pokazać swoją odpowiedź."
"components/c-309/_buttons/_showFeedback/buttonText/","Pokaż informację zwrotną"
"components/c-309/_buttons/_showFeedback/ariaLabel/","Wybierz tutaj, aby pokazać informację zwrotną."
"components/c-309/_buttons/remainingAttemptsText/","Pozostałe próby"
"components/c-309/_buttons/remainingAttemptText/","ostatnia próba"
"components/c-399/body/","Źródła: <br> <br> Guadamuz, Andres (2025): The EU's Artificial Intelligence Act and copyright, The Journal of World Intellectual Property Vol. 28(1), DOI: <a href=""https://doi.org/10.1111/jwip.12330"" target=""_blank"">https://doi.org/10.1111/jwip.12330</a> <br> <br> Sag, Matthew (2023): Copyright Safety for Generative AI, Houston Law Review, Vol. 61(2), DOI (pre-print): <a href=""https://dx.doi.org/10.2139/ssrn.4438593"" target=""_blank"">https://dx.doi.org/10.2139/ssrn.4438593</a> <br> <br> Smuha, Nathalie A. (editor) (2025): The Cambridge Handbook of the Law, Ethics and Policy of Artificial Intelligence, DOI: <a href=""https://doi.org/10.1017/9781009367783"" target=""_blank"">https://doi.org/10.1017/9781009367783</a> "
"components/c-401/title/","Ważne definicje RODO"
"components/c-401/displayTitle/","Podstawowe definicje RODO"
"components/c-401/body/","Zanim zbadamy zastosowanie Ogólnego Rozporządzenia o Ochronie Danych (RODO) do AI, konieczne jest zrozumienie jego podstawowej terminologii. RODO ustanawia swoje ramy regulacyjne poprzez precyzyjne definicje. Poniższe trzy koncepcje są kluczowe dla dyskusji na temat AI:"
"components/c-401/instruction/","Poznaj każdy termin poniżej, aby zrozumieć jego znaczenie."
"components/c-401/_items/0/front/","Dane osobowe"
"components/c-401/_items/0/back/body/","Dane osobowe odnoszą się do <b>wszelkich informacji, które mogą zidentyfikować żyjącą osobę</b>, bezpośrednio lub pośrednio. Przykładami są <em>imiona, numery identyfikacyjne, dane o lokalizacji lub wszelkie dane, które mogą być użyte do ustalenia tożsamości osoby.</em>"
"components/c-401/_items/1/front/","Przetwarzanie"
"components/c-401/_items/1/back/body/","Przetwarzanie danych oznacza <b>każdą</b> czynność wykonywaną na danych osobowych. Obejmuje to <em>zbieranie, przechowywanie, używanie, udostępnianie, modyfikowanie, a nawet usuwanie.</em> Takie przetwarzanie może odbywać się ręcznie lub za pomocą systemów zautomatyzowanych."
"components/c-401/_items/2/front/","Zgoda"
"components/c-401/_items/2/back/body/","Zgoda oznacza <b>jasne, dobrowolne, konkretne i świadome zezwolenie</b> osoby na wykorzystanie jej danych osobowych. Wymaga <em>jednoznacznego działania potwierdzającego</em> i nie może być domniemana."
"components/c-402/title/","Jak AI przetwarza dane osobowe"
"components/c-402/displayTitle/","Jak AI przetwarza dane osobowe"
"components/c-402/body/","Systemy sztucznej inteligencji w dużej mierze opierają się na danych w celu ich funkcjonowania. Zrozumienie, w jaki sposób dane osobowe są przetwarzane na różnych etapach rozwoju i wdrażania AI, jest kluczowe dla zgodności z RODO."
"components/c-402/instruction/","Wybierz zakładki, aby dowiedzieć się więcej."
"components/c-402/_items/0/tabTitle/","Gromadzenie danych i trening"
"components/c-402/_items/0/title/","Faza 1: Gromadzenie danych i wstępny trening"
"components/c-402/_items/0/body/","Systemy AI opierają się na <b>„ogromnym głodzie danych”</b>. Ta początkowa faza obejmuje gromadzenie ogromnych ilości danych w celu trenowania algorytmów do rozpoznawania wzorców lub prognozowania. Jeśli dane są wystarczająco szczegółowe, mogą umożliwić <b>rozpoznawanie osób</b>, co oznacza, że dane osobowe są zaangażowane od samego początku. To gromadzenie odpowiednich danych jest kluczowym czynnikiem problemów związanych z AI, ponieważ często jest wykorzystywane do tworzenia <em>profili osobowości lub do zindywidualizowanych usług.</em>"
"components/c-402/_items/1/tabTitle/","Rozwój modelu i ryzyka"
"components/c-402/_items/1/title/","Faza 2: Rozwój modelu AI i wycieki danych"
"components/c-402/_items/1/body/","W fazie rozwoju modele AI są tworzone na podstawie zebranych danych treningowych. Nawet po wytrenowaniu modelu, może on nieumyślnie „<b>wyciekać</b>” niektóre dane osobowe, na których został wytrenowany, za pomocą metod takich jak <em>inwersja modelu lub ataki wnioskowania o członkostwie</em>. Oznacza to, że wytrenowany model sam w sobie może zawierać dane osobowe, a jego udostępnianie lub przekazywanie stronom trzecim jest uważane za <b>„przetwarzanie” zgodnie z RODO</b>, niezależnie od tego, czy oryginalne dane były surowe, czy spseudonimizowane."
"components/c-402/_items/2/tabTitle/","Zastosowanie"
"components/c-402/_items/2/title/","Faza 3: Zastosowania AI"
"components/c-402/_items/2/body/","Ostatnia faza obejmuje wdrożenie wytrenowanego modelu AI w celu dokonywania rzeczywistych prognoz i decyzji. Ta <b>„faza wnioskowania”</b> przetwarza dane osobowe w celu wyciągnięcia nowych informacji, na przykład bank używający AI do przewidywania ryzyka niewypłacalności kredytów. To zastosowanie AI do danych osobowych stanowi <b>„dalsze przetwarzanie”</b> i musi być zgodne z zasadami RODO, ponieważ bezpośrednio dotyczy osób fizycznych poprzez <em>zautomatyzowane decyzje i rekomendacje</em>."
"components/c-403/title/","Punkty tarcia między AI a RODO"
"components/c-403/displayTitle/","Punkty tarcia między AI a RODO"
"components/c-403/body/","Kiedy firmy wdrażają sztuczną inteligencję, często opiera się ona na Twoich danych osobowych. Chociaż RODO ma na celu ochronę Ciebie, unikalne cechy AI mogą stwarzać specyficzne wyzwania dla osób, które wchodzą w interakcje z tymi systemami w ramach firmy."
"components/c-403/instruction/","Kliknij pola poniżej, aby dowiedzieć się więcej."
"components/c-403/_items/0/title/","Ograniczenie celu"
"components/c-403/_items/0/body/","Systemy AI często wykorzystują Twoje informacje w sposób, który <b>pierwotnie nie został wyjaśniony ani uzgodniony.</b>"
"components/c-403/_items/1/title/","Przejrzystość"
"components/c-403/_items/1/body/","Decyzje podejmowane przez AI mogą być trudne do zrozumienia. Firmie trudno jest wyjaśnić, <em>dlaczego</em> AI doszła do określonego wniosku na Twój temat, co utrudnia zrozumienie, w jaki sposób podejmowane są jej decyzje."
"components/c-403/_items/2/title/","Minimalizacja danych i ograniczenie przechowywania"
"components/c-403/_items/2/body/","AI żywi się dużymi ilościami danych, co często oznacza, że <b>zbieranych jest więcej Twoich informacji, niż jest to absolutnie konieczne.</b> Utrudnia to również wiedzę, kiedy lub czy Twoje dane zostaną kiedykolwiek usunięte."
"components/c-403/_items/3/title/","Dokładność"
"components/c-403/_items/3/body/","Dane muszą być dokładne i aktualne. Jednak <b>charakter „czarnej skrzynki”</b> AI utrudnia wykrywanie i korygowanie niedokładnych informacji. Ważnym niuansem jest to, że podczas gdy dane wejściowe muszą być dokładne, wyniki AI są często <b>prognozami probabilistycznymi</b>, co utrudnia zastosowanie tej zasady."
"components/c-404/title/","Ważne zalecenia"
"components/c-404/displayTitle/","Wytyczne dotyczące postępowania z danymi osobowymi"
"components/c-404/body/","Jako użytkownik końcowy, Twoje działania mogą znacząco wpłynąć na ochronę danych w systemach AI przedsiębiorstwa."
"components/c-404/instruction/","Poznaj te zalecenia, aby zrozumieć, jak chronić dane osobowe."
"components/c-404/_items/0/front/","Brak danych osobowych bez zgody"
"components/c-404/_items/0/back/body/","<b>Nigdy nie wprowadzaj danych osobowych innych osób</b> do systemu AI bez jasnej, wyraźnej podstawy prawnej, takiej jak ich <em>konkretna i świadoma zgoda.</em>"
"components/c-404/_items/1/front/","Anonimizuj dane"
"components/c-404/_items/1/back/body/","Jeśli Twoja rola obejmuje obsługę lub wprowadzanie danych, które przyczyniają się do systemów AI, <b>priorytetowo traktuj stosowanie technik anonimizacji lub pseudonimizacji</b> w celu usunięcia lub zamaskowania identyfikatorów osobistych."
"components/c-404/_items/2/front/","Sprawdź swoją zgodę"
"components/c-404/_items/2/back/body/","Jako osoba fizyczna udostępniająca własne dane, <b>dokładnie sprawdzaj prośby o zgodę,</b> zwłaszcza jeśli są one niejasne, domniemane lub przedstawiane jako domyślna rezygnacja. RODO wymaga, aby zgoda była <b>„dobrowolna, konkretna, świadoma i jednoznaczna”</b>."
"components/c-405/title/","Quiz: Definicje RODO"
"components/c-405/displayTitle/","Sprawdź swoją wiedzę: Terminologia RODO"
"components/c-405/body/","Zgodnie z „Definicjami RODO” powyżej, jaki rodzaj informacji jest kategoryzowany jako „Dane osobowe”?"
"components/c-405/instruction/","Wybierz jedną opcję, która jest prawdziwa, a następnie kliknij Wyślij."
"components/c-405/ariaQuestion/","Co zgodnie z definicjami RODO jest kategoryzowane jako „Dane osobowe”?"
"components/c-405/_items/0/text/","Wszelkie informacje o wynikach finansowych firmy."
"components/c-405/_items/0/altText/","Opcja: Dane finansowe firmy."
"components/c-405/_items/1/text/","Informacje, które zostały w pełni zanonimizowane i nie mogą być przypisane do żadnej osoby."
"components/c-405/_items/1/altText/","Opcja: W pełni zanonimizowane dane."
"components/c-405/_items/2/text/","Wszelkie informacje, które mogą bezpośrednio lub pośrednio zidentyfikować żyjącą osobę."
"components/c-405/_items/2/altText/","Opcja: Identyfikowalne informacje o żyjących osobach."
"components/c-405/_items/3/text/","Dane dotyczące wyłącznie historii przeglądania Internetu przez osobę."
"components/c-405/_items/3/altText/","Opcja: Dane historii przeglądania Internetu."
"components/c-405/_feedback/title/","Wyjaśnienie definicji danych osobowych"
"components/c-405/_feedback/correct/","Zgadza się! Sekcja „Ważne definicje RODO” jasno stwierdza, że dane osobowe odnoszą się do „wszelkich informacji, które mogą bezpośrednio lub pośrednio zidentyfikować żyjącą osobę”. Jest to podstawowa koncepcja RODO."
"components/c-405/_feedback/_incorrect/notFinal/","Nie do końca. Sprawdź pole „Dane osobowe” w sekcji „Ważne definicje RODO”. Zastanów się, co sprawia, że informacje są naprawdę „osobiste” w kontekście RODO."
"components/c-405/_feedback/_incorrect/final/","Poprawna odpowiedź to: Wszelkie informacje, które mogą bezpośrednio lub pośrednio zidentyfikować żyjącą osobę. Ta szeroka definicja zapewnia, że różne rodzaje danych, nawet jeśli nie są od razu oczywiste, są chronione na mocy RODO, jeśli mogą być przypisane do osoby."
"components/c-405/_feedback/_partlyCorrect/notFinal/","To pytanie ma tylko jedną poprawną odpowiedź. Proszę sprawdzić swój wybór na podstawie treści."
"components/c-405/_feedback/_partlyCorrect/final/","To pytanie ma tylko jedną poprawną odpowiedź. Poprawna odpowiedź to, że dane osobowe obejmują wszelkie informacje, które mogą bezpośrednio lub pośrednio zidentyfikować żyjącą osobę."
"components/c-405/_buttons/_submit/buttonText/","Wyślij"
"components/c-405/_buttons/_submit/ariaLabel/","Wybierz tutaj, aby wysłać swoją odpowiedź."
"components/c-405/_buttons/_reset/buttonText/","Resetuj"
"components/c-405/_buttons/_reset/ariaLabel/","Wybierz tutaj, aby zresetować swoją odpowiedź."
"components/c-405/_buttons/_showCorrectAnswer/buttonText/","Pokaż poprawną odpowiedź"
"components/c-405/_buttons/_showCorrectAnswer/ariaLabel/","Wybierz tutaj, aby pokazać poprawną odpowiedź."
"components/c-405/_buttons/_hideCorrectAnswer/buttonText/","Pokaż moją odpowiedź"
"components/c-405/_buttons/_hideCorrectAnswer/ariaLabel/","Wybierz tutaj, aby pokazać swoją odpowiedź."
"components/c-405/_buttons/_showFeedback/buttonText/","Pokaż informację zwrotną"
"components/c-405/_buttons/_showFeedback/ariaLabel/","Wybierz tutaj, aby pokazać informację zwrotną."
"components/c-405/_buttons/remainingAttemptsText/","Pozostałe próby"
"components/c-405/_buttons/remainingAttemptText/","ostatnia próba"
"components/c-406/body/","Źródła: <br> <br> Paal, Boris P. (2022): Artificial Intelligence as a Challenge for Data Protection Law And Vice Versa. In: The Cambridge Handbook of Responsible Artificial Intelligence, <a href=""https://doi.org/10.1017/9781009207898.023"" target=""_blank"">https://doi.org/10.1017/9781009207898.023</a> <br> <br> Dewitte, Pierre (2025): AI Meets the GDPR. In: Smuha, N. A. (editor) (2025): The Cambridge Handbook of the Law, Ethics and Policy of Artificial Intelligence. DOI: <a href=""https://doi.org/10.1017/9781009367783.010"" target=""_blank"">https://doi.org/10.1017/9781009367783.010</a>"
"components/c-501/title/","Wprowadzenie do rozporządzenia UE w sprawie AI"
"components/c-501/displayTitle/","Poznaj rozporządzenie UE w sprawie AI"
"components/c-501/body/","Zanim przejdziemy do najważniejszych wymogów regulacyjnych, chcielibyśmy przedstawić krótkie wprowadzenie do rozporządzenia UE w sprawie AI (EU AI Act)."
"components/c-501/instruction/","Kliknij pola poniżej, aby zbadać podstawowe pytania dotyczące rozporządzenia UE w sprawie AI."
"components/c-501/_items/0/front/","Dlaczego regulować AI?"
"components/c-501/_items/0/back/body/","Rozporządzenie UE w sprawie AI ma na celu zapewnienie, że rozwój i wykorzystanie AI są bezpieczne i godne zaufania oraz szanują prawa podstawowe. Stara się ono pogodzić innowacje z ochroną obywateli i budować zaufanie do AI."
"components/c-501/_items/1/front/","Co jest regulowane?"
"components/c-501/_items/1/back/body/","Każdy system oparty na maszynie, wprowadzony do obrotu na rynku UE, działający z różnym stopniem autonomii i potencjalną zdolnością adaptacji, który wnioskuje z danych wejściowych w celu generowania wirtualnych lub fizycznych wyników (prognoz, treści, rekomendacji lub decyzji)."
"components/c-501/_items/2/front/","Kogo to dotyczy?"
"components/c-501/_items/2/back/body/","Rozporządzenie UE w sprawie AI dotyczy wielu podmiotów i osób fizycznych, z których każda ma określone role i obowiązki w zakresie zapewnienia zgodności i odpowiedzialności. Szczegółowo omówimy te role w następnej kolejności."
"components/c-502/title/","Rozporządzenie UE w sprawie AI: Ważne kamienie milowe"
"components/c-502/displayTitle/","Harmonogram rozporządzenia w sprawie AI"
"components/c-502/body/","Skoro już wyjaśniliśmy dlaczego, co i kto, pozostaje pytanie: „Kiedy?”"
"components/c-502/instruction/","Przesuń lub kliknij, aby wyświetlić harmonogram najważniejszych kamieni milowych."
"components/c-502/_items/0/title/","Luty 2025"
"components/c-502/_items/0/body/","Wchodzą w życie najsurowsze przepisy, zakazujące niektórych systemów AI o niedopuszczalnym ryzyku, takich jak punktacja społeczna przez władze i zdalna identyfikacja biometryczna w czasie rzeczywistym w miejscach publicznych."
"components/c-502/_items/1/title/","Sierpień 2025"
"components/c-502/_items/1/body/","Aktywne stają się przepisy dotyczące modeli AI ogólnego przeznaczenia (GPAI), które są szerokimi systemami AI, takimi jak duże modele językowe. Dodatkowo państwa członkowskie muszą ustanowić swoje krajowe organy do egzekwowania rozporządzenia i określić kary za nieprzestrzeganie przepisów."
"components/c-502/_items/2/title/","Sierpień 2026"
"components/c-502/_items/2/body/","Zaczyna obowiązywać większość przepisów rozporządzenia w sprawie AI. Obejmuje to wymagania dla systemów AI wysokiego ryzyka."
"components/c-502/_items/3/title/","Sierpień 2027"
"components/c-502/_items/3/body/","W pełni wchodzą w życie specyficzne obowiązki dla wszystkich nowych systemów AI wysokiego ryzyka (takich jak te używane w infrastrukturze krytycznej lub urządzeniach medycznych). Dostawcy modeli GPAI, które zostały wprowadzone przed sierpniem 2025 r., muszą również być w pełni zgodni z przepisami do tej daty."
"components/c-503/title/","Prawo autorskie i AI"
"components/c-503/displayTitle/","Jakie są wymogi regulacyjne?"
"components/c-503/body/","Jak wspomniano powyżej, AI dotyczy szerokiego grona osób i organów. Obowiązki regulacyjne zależą od dwóch głównych pytań:"
"components/c-503/_items/0/title/","Jaka jest Twoja rola?"
"components/c-503/_items/1/title/","Jakie jest ryzyko systemu AI?"
"components/c-505/title/","Kluczowe role w ekosystemie rozporządzenia UE w sprawie AI"
"components/c-505/displayTitle/","Poznaj swoją rolę"
"components/c-505/body/","Artykuł 3 (2-8) rozporządzenia w sprawie AI definiuje kilka kluczowych ról, z których każda ma określone obowiązki w odniesieniu do systemów AI i modeli AI ogólnego przeznaczenia. Zrozumienie tych ról jest kluczowe dla zapewnienia zgodności z przepisami."
"components/c-505/instruction/","Kliknij każde pole, aby dowiedzieć się więcej o każdej kluczowej roli."
"components/c-505/_items/0/front/","Dostawca"
"components/c-505/_items/0/back/body/","Jest to firma lub osoba, która <b>tworzy</b> (lub zleca stworzenie) system AI lub model AI ogólnego przeznaczenia, a następnie <b>sprzedaje go lub udostępnia</b> pod własną nazwą, odpłatnie lub bezpłatnie."
"components/c-505/_items/1/front/","Użytkownik"
"components/c-505/_items/1/back/body/","Jest to każda osoba (osoba fizyczna, firma lub organ rządowy), która <b>używa</b> systemu AI do własnych operacji lub usług. <i>Nie obejmuje to osób</i>, które używają AI wyłącznie do celów osobistych."
"components/c-505/_items/2/front/","Dystrybutor i importer"
"components/c-505/_items/2/back/body/","<b>Dystrybutor</b> to firma lub osoba w łańcuchu dostaw (taka jak sprzedawca detaliczny), która oferuje system AI do sprzedaży w UE, ale nie jest pierwotnym producentem. Jeśli system jest wprowadzany spoza UE, firma lub osoba działa jako <b>importer</b>."
"components/c-506/title/","Grupa docelowa"
"components/c-506/body/","Aby zachować status użytkownika, unikaj zmiany nazwy systemu AI, którego zamierzasz używać. Upewnij się również, że używasz systemu wyłącznie do pierwotnie zamierzonego celu. Jeśli nie masz pewności co do swojej roli, skorzystaj z narzędzia EU AI Act Compliance Checker, do którego link znajduje się w źródłach na końcu tej lekcji."
"components/c-507/_graphic/attribution/","<a href=""https://unsplash.com/photos/traffic-light-in-red-IqB5MPcQp6k"" target=""_blank"" style=""color: white;"">Erwan Hesry na www.unsplash.com</a>"
"components/c-508/title/","Przykłady zabronionych zastosowań"
"components/c-508/_items/0/title/","Szkodliwa manipulacja"
"components/c-508/_items/0/body/","Systemy AI, które wykorzystują <b>podprogowe, manipulacyjne lub zwodnicze techniki</b> w celu lub z efektem <b>zniekształcenia zachowania</b>, które powodują lub prawdopodobnie spowodują <b>znaczną szkodę</b>."
"components/c-508/_items/0/instruction/","Dalej »"
"components/c-508/_items/1/title/","Wykorzystywanie słabych punktów"
"components/c-508/_items/1/body/","Systemy AI, które <b>wykorzystują słabe punkty</b> związane z <b>wiekiem, niepełnosprawnością lub specyficznymi sytuacjami społecznymi/ekonomicznymi</b>, w celu lub z efektem <b>zniekształcenia zachowania</b>, które powodują lub prawdopodobnie spowodują <b>znaczną szkodę</b>."
"components/c-508/_items/1/instruction/","Dalej »"
"components/c-508/_items/2/title/","Punktacja społeczna"
"components/c-508/_items/2/body/","Systemy, które <b>oceniają lub klasyfikują osoby na podstawie ich zachowania społecznego</b>, co prowadzi do <b>niekorzystnego lub nieprzychylnego traktowania</b> w kontekstach społecznych, które nie są związane z pierwotnym gromadzeniem danych, lub które są <b>nieuzasadnione lub nieproporcjonalne</b>."
"components/c-508/_items/2/instruction/","Dalej »"
"components/c-508/_items/3/title/","Predykcyjna praca policji"
"components/c-508/_items/3/body/","Systemy AI, które są zaprojektowane do <b>przewidywania ryzyka popełnienia przestępstwa</b> przez osobę."
"components/c-508/_items/3/instruction/","Dalej »"
"components/c-508/_items/4/title/","Nieukierunkowane skanowanie do rozpoznawania twarzy"
"components/c-508/_items/4/body/","<b>Nieukierunkowane skanowanie</b> Internetu lub materiałów z kamer CCTV w celu <b>tworzenia lub rozszerzania baz danych rozpoznawania twarzy</b>."
"components/c-508/_items/4/instruction/","Dalej »"
"components/c-508/_items/5/title/","Rozpoznawanie emocji w określonych kontekstach"
"components/c-508/_items/5/body/","Systemy AI, które są używane do <b>wnioskowania o emocjach</b> w <b>miejscach pracy i instytucjach edukacyjnych</b>."
"components/c-508/_items/5/instruction/","Dalej »"
"components/c-508/_items/6/title/","Kategoryzacja biometryczna chronionych cech"
"components/c-508/_items/6/body/","<b>Kategoryzacja biometryczna</b>, która jest używana do <b>wnioskowania o określonych chronionych cechach</b> (np. poglądy polityczne, orientacja seksualna, rasa, przekonania religijne)."
"components/c-508/_items/6/instruction/","Dalej »"
"components/c-508/_items/7/title/","Zdalna identyfikacja biometryczna w czasie rzeczywistym"
"components/c-508/_items/7/body/","<b>Zdalna identyfikacja biometryczna w czasie rzeczywistym</b> do <b>celów egzekwowania prawa</b> w <b>miejscach publicznie dostępnych</b> (z ograniczonymi, surowymi wyjątkami dla poważnych przestępstw)."
"components/c-508/_items/7/instruction/","Ukończono ✔"
"components/c-509/_graphic/attribution/","Wygenerowano za pomocą Google Imagen 4"
"components/c-510/title/","Przykłady systemów wysokiego ryzyka"
"components/c-510/_items/0/title/","Elementy bezpieczeństwa produktów"
"components/c-510/_items/0/body/","Systemy AI, które są używane jako <b>elementy bezpieczeństwa w produktach</b>, które już podlegają <b>przepisom bezpieczeństwa UE</b> (np. urządzenia medyczne, lotnictwo, samochody)."
"components/c-510/_items/0/instruction/","Dalej »"
"components/c-510/_items/1/title/","Biometryczne systemy identyfikacji"
"components/c-510/_items/1/body/","AI, która jest używana do <b>zdalnej identyfikacji biometrycznej</b> osób fizycznych (z wyłączeniem użycia w czasie rzeczywistym przez organy ścigania w miejscach publicznych, które jest <b>generalnie zabronione</b>)."
"components/c-510/_items/1/instruction/","Dalej »"
"components/c-510/_items/2/title/","Zarządzanie infrastrukturą krytyczną"
"components/c-510/_items/2/body/","Systemy AI, które działają jako <b>elementy bezpieczeństwa</b> w <b>zarządzaniu podstawowymi usługami</b>, takimi jak woda, gaz, energia elektryczna lub kontrola ruchu."
"components/c-510/_items/2/instruction/","Dalej »"
"components/c-510/_items/3/title/","Edukacja i szkolenia zawodowe"
"components/c-510/_items/3/body/","AI, która jest używana do <b>określania dostępu</b> do instytucji edukacyjnych, do <b>przypisywania osób</b> lub do <b>oceny wyników nauczania</b> (np. ocena egzaminów)."
"components/c-510/_items/3/instruction/","Dalej »"
"components/c-510/_items/4/title/","Zatrudnienie i zarządzanie personelem"
"components/c-510/_items/4/body/","Systemy AI, które są używane do <b>rekrutacji, selekcji kandydatów, oceny</b> kandydatów, <b>przydzielania zadań, monitorowania lub oceny wydajności</b> pracowników."
"components/c-510/_items/4/instruction/","Dalej »"
"components/c-510/_items/5/title/","Dostęp do podstawowych usług"
"components/c-510/_items/5/body/","AI, która jest używana do <b>oceny zdolności kredytowej</b>, do <b>wysyłania służb ratunkowych</b> lub do <b>oceny uprawnień do publicznych świadczeń socjalnych</b> (np. pomocy społecznej, opieki zdrowotnej)."
"components/c-510/_items/5/instruction/","Dalej »"
"components/c-510/_items/6/title/","Zastosowania w egzekwowaniu prawa"
"components/c-510/_items/6/body/","Systemy AI, które są używane przez organy ścigania do celów takich jak <b>ocena ryzyka przestępczości</b>, <b>wykrywacze kłamstw</b> lub <b>ocena wiarygodności dowodów</b>."
"components/c-510/_items/6/instruction/","Dalej »"
"components/c-510/_items/7/title/","Migracja, azyl i kontrola graniczna"
"components/c-510/_items/7/body/","Systemy AI, które są używane do <b>oceny uprawnień do azylu, wiz lub zezwoleń na pobyt</b> lub do <b>weryfikacji autentyczności dokumentów podróży</b>."
"components/c-510/_items/7/instruction/","Dalej »"
"components/c-510/_items/8/title/","Administracja wymiaru sprawiedliwości i demokracja"
"components/c-510/_items/8/body/","Systemy AI, które są przeznaczone do <b>wspierania organów wymiaru sprawiedliwości</b> lub do <b>wpływania na wynik wyborów</b> lub referendów."
"components/c-510/_items/8/instruction/","Ukończono ✔"
"components/c-511/title/","Wymogi prawne dla systemów wysokiego ryzyka"
"components/c-511/displayTitle/","Wymogi prawne dla systemów wysokiego ryzyka"
"components/c-511/body/","Zanim wdrożysz system wysokiego ryzyka, na przykład zautomatyzowane sprawdzanie życiorysów w rekrutacji, upewnij się, że spełniasz następujące wymogi prawne."
"components/c-511/instruction/","Wybierz nagłówki, aby dowiedzieć się więcej."
"components/c-511/_items/0/title/","Zarządzanie i zarządzanie danymi"
"components/c-511/_items/0/body/","Użytkownicy muszą zapewnić, że system AI jest używany zgodnie z instrukcjami. Jeśli kontrolują dane wejściowe, muszą one być <strong>istotne i wystarczająco reprezentatywne</strong> dla zamierzonego zastosowania systemu. Należy przeprowadzić odpowiednie <strong>oceny skutków dla ochrony danych (DPIA)</strong>, a <strong>rejestracja w bazie danych UE</strong> jest wymagana, jeśli wskazano."
"components/c-511/_items/1/title/","Przejrzystość i powiadomienie"
"components/c-511/_items/1/body/","Przed użyciem lub uruchomieniem systemów AI wysokiego ryzyka w miejscu pracy, użytkownicy muszą <strong>poinformować zainteresowanych pracowników i ich przedstawicieli</strong>. Dodatkowo osoby fizyczne muszą być <strong>informowane o użyciu AI wysokiego ryzyka w decyzjach</strong>, którym podlegają."
"components/c-511/_items/2/title/","Zarządzanie ryzykiem i nadzór ludzki"
"components/c-511/_items/2/body/","Użytkownicy są zobowiązani do <strong>monitorowania systemu AI wysokiego ryzyka</strong> i ryzyka z nim związanego. Muszą <strong>niezwłocznie poinformować dostawcę, dystrybutora i właściwy organ nadzoru rynku</strong>, jeśli użycie może stanowić ryzyko dla zdrowia i bezpieczeństwa lub praw podstawowych, oraz <strong>zawiesić użycie systemu w takich przypadkach</strong>. <strong>Nadzór ludzki</strong> musi być zapewniony przez osoby z niezbędnym szkoleniem i wsparciem. Użytkownicy muszą również przechowywać <strong>automatycznie generowane dzienniki</strong> użycia systemu (jeśli są pod ich kontrolą) przez co najmniej sześć miesięcy i <strong>współpracować z odpowiednimi właściwymi organami</strong>."
"components/c-511/_items/3/title/","Prawo do wyjaśnienia"
"components/c-511/_items/3/body/","Na żądanie osoby, użytkownicy muszą dostarczyć <strong>szczegółowe wyjaśnienie roli AI</strong> w każdym procesie decyzyjnym, który ma <strong>skutek prawny lub podobnie znaczący</strong> dla tej osoby, zwłaszcza jeśli ma <strong>niekorzystny wpływ na jej zdrowie i bezpieczeństwo lub prawa podstawowe</strong>. Wyjaśnienie musi również przedstawiać główne elementy decyzji."
"components/c-513/title/","Kategoryzacja praktyk AI w miejscu pracy"
"components/c-513/displayTitle/","Sprawdź swoją wiedzę: Klasyfikacja ryzyka"
"components/c-513/body/","Wybierz właściwą kategorię ryzyka z rozwijanego menu dla każdej praktyki AI, na podstawie typowych scenariuszy korporacyjnych i w miejscu pracy."
"components/c-513/instruction/","Wybierz opcję z każdej listy rozwijanej i kliknij Wyślij."
"components/c-513/ariaQuestion/","Wybierz kategorię ryzyka dla każdej praktyki AI."
"components/c-513/placeholder/","Wybierz kategorię..."
"components/c-513/_items/0/text/","Użycie narzędzia AI do analizy strumieni wideo od pracowników i raportowania ich stanu emocjonalnego podczas wewnętrznych spotkań."
"components/c-513/_items/0/_options/0/text/","Zabroniona praktyka AI"
"components/c-513/_items/0/_options/1/text/","Praktyka AI wysokiego ryzyka"
"components/c-513/_items/1/text/","Wdrożenie platformy opartej na AI do automatycznego przeglądania aplikacji i rankingu kandydatów do rozmów kwalifikacyjnych na podstawie ich umiejętności i doświadczenia."
